date,Open,High,Low,Close,Volume
2024-01-01,2581.05,2606.0,2573.55,2589.85,135282.0
2024-01-02,2587.65,2614.9,2573.5,2610.9,172372.0
2024-01-03,2608.1,2634.0,2577.15,2582.95,215002.0
2024-01-04,2589.4,2609.75,2580.0,2597.4,325168.0
2024-01-05,2600.15,2619.45,2597.95,2606.75,931030.0
2024-01-08,2612.4,2632.0,2568.3,2586.1,175002.0
2024-01-09,2597.35,2607.05,2576.25,2580.6,280844.0
2024-01-10,2580.6,2658.95,2577.3,2649.95,916002.0
2024-01-11,2655.7,2724.95,2655.7,2718.4,688390.0
2024-01-12,2718.4,2746.45,2691.55,2740.1,1213012.0
2024-01-15,2746.9,2792.65,2732.0,2787.5,243454.0
2024-01-16,2781.85,2792.5,2741.0,2747.65,307608.0
2024-01-17,2729.85,2772.0,2711.0,2722.8,231724.0
2024-01-18,2700.0,2742.0,2700.0,2734.9,317964.0
2024-01-19,2753.0,2753.0,2716.85,2735.05,966014.0
2024-01-23,2732.15,2742.75,2645.0,2656.0,204594.0
2024-01-24,2660.0,2699.0,2649.0,2688.7,546122.0
2024-01-25,2684.5,2725.0,2670.05,2710.35,4822230.0
2024-01-29,2713.2,2905.0,2713.2,2896.15,1647900.0
2024-01-30,2905.4,2917.95,2808.75,2814.85,606696.0
2024-01-31,2811.45,2869.45,2804.95,2853.2,217408.0
